id,name,date,time,tag,colony,site,season,wetdry
Dodge_018,7.16CM4,Jul-16,5,cm4,b,central,summer,wet
Dodge_019,6.15LM8,Jun-15,2,lm8,e,ledge,summer,wet
Dodge_021,11.16LM6,Nov-16,6,lm6,d,ledge,fall,dry
Dodge_022,3.16SM2,Mar-16,4,sm2,g,south,spring,dry
Dodge_024,8.14CM2,Sep-14,1,cm2,a,central,summer,wet
Dodge_025,3.16CM4,Mar-16,4,cm4,b,central,spring,dry
Dodge_026,10.15CM2,Oct-15,3,cm2,a,central,fall,dry
Dodge_028,10.15CM4,Oct-15,3,cm4,b,central,fall,dry
Dodge_029,8.14LM8,Sep-14,1,lm8,e,ledge,summer,wet
Dodge_030,7.16SM2,Jul-16,5,sm2,g,south,summer,wet
Dodge_034,10.15SM1,Oct-15,3,sm1,f,south,fall,dry
Dodge_035,10.13LM6,Oct-13,0,lm6,d,ledge,fall,dry
Dodge_036,3.16LM3,Mar-16,4,lm3,c,ledge,spring,dry
Dodge_039,8.14LM6,Sep-14,1,lm6,d,ledge,summer,wet
Dodge_040,3.16SM1,Mar-16,4,sm1,f,south,spring,dry
Dodge_046,6.15CM2,Jun-15,2,cm2,a,central,summer,wet
Dodge_048,10.15LM8,Oct-15,3,lm8,e,ledge,fall,dry
Dodge_049,8.14CM4,Sep-14,1,cm4,b,central,summer,wet
Dodge_051,7.16LM6,Jul-16,5,lm6,d,ledge,summer,wet
Dodge_055,8.14LM3,Sep-14,1,lm3,c,ledge,summer,wet
Dodge_057,11.16LM3,Nov-16,6,lm3,c,ledge,fall,dry
Dodge_059,11.16CM4,Nov-16,6,cm4,b,central,fall,dry
Dodge_061,11.16SM1,Nov-16,6,sm1,f,south,fall,dry
Dodge_062,7.16SM1,Jul-16,5,sm1,f,south,summer,wet
Dodge_063,7.16CM2,Jul-16,5,cm2,a,central,summer,wet
Dodge_064,11.16LM8,Nov-16,6,lm8,e,ledge,fall,dry
Dodge_069,6.15SM1,Jun-15,2,sm1,f,south,summer,wet
Dodge_070,10.13CM4,Oct-13,0,cm4,b,central,fall,dry
Dodge_071,6.15SM2,Jun-15,2,sm2,g,south,summer,wet
Dodge_072,7.16LM3,Jul-16,5,lm3,c,ledge,summer,wet
Dodge_073,10.13SM1,Oct-13,0,sm1,f,south,fall,dry
Dodge_074,10.13SM2,Oct-13,0,sm2,g,south,fall,dry
Dodge_076,10.13LM8,Oct-13,0,lm8,e,ledge,fall,dry
Dodge_078,6.15LM3,Jun-15,2,lm3,c,ledge,summer,wet
Dodge_079,6.15CM4,Jun-15,2,cm4,b,central,summer,wet
Dodge_082,10.13CM2,Oct-13,0,cm2,a,central,fall,dry
Dodge_087,10.15LM3,Oct-15,3,lm3,c,ledge,fall,dry
Dodge_090,10.13LM3,Oct-13,0,lm3,c,ledge,fall,dry
Dodge_092,3.16LM8,Mar-16,4,lm8,e,ledge,spring,dry
Dodge_093,3.16LM6,Mar-16,4,lm6,d,ledge,spring,dry
Dodge_094,8.14SM2,Sep-14,1,sm2,g,south,summer,wet
Dodge_095,11.16SM2,Nov-16,6,sm2,g,south,fall,dry
Dodge_096,3.16CM2,Mar-16,4,cm2,a,central,spring,dry
Dodge_097,10.15SM2,Oct-15,3,sm2,g,south,fall,dry
Dodge_098,10.15LM6,Oct-15,3,lm6,d,ledge,fall,dry
Dodge_100,11.16CM2,Nov-16,6,cm2,a,central,fall,dry
Dodge_104,7.16LM8,Jul-16,5,lm8,e,ledge,summer,wet
Dodge_106,8.14SM1,Sep-14,1,sm1,f,south,summer,wet
Dodge_107,6.15LM6,Jun-15,2,lm6,d,ledge,summer,wet
